,Ranking,Movie Names,Year,Rating
0,145,Yôjinbô,1961,8.1
1,64,Witness for the Prosecution,1957,8.4
2,43,Whiplash,2014,8.5
3,169,Warrior,2011,8.1
4,58,WALL·E,2008,8.4
5,100,Vertigo,1958,8.2
6,158,V for Vendetta,2005,8.1
7,114,Up,2009,8.2
8,136,Unforgiven,1992,8.2
9,209,Tôkyô monogatari,1953,8.1
10,166,Trainspotting,1996,8.1
11,84,Toy Story 3,2010,8.3
12,75,Toy Story,1995,8.3
13,171,Tonari no Totoro,1988,8.1
14,109,To Kill a Mockingbird,1962,8.2
15,229,To Be or Not to Be,1942,8.0
16,167,"Three Billboards Outside Ebbing, Missouri",2017,8.1
17,141,There Will Be Blood,2007,8.2
18,134,The Wolf of Wall Street,2013,8.2
19,220,The Wizard of Oz,1939,8.0
20,39,The Usual Suspects,1995,8.5
21,144,The Truman Show,1998,8.1
22,146,The Treasure of the Sierra Madre,1948,8.1
23,178,The Third Man,1949,8.1
24,161,The Thing,1982,8.1
25,215,The Terminator,1984,8.0
26,110,The Sting,1973,8.2
27,243,The Sound of Music,1965,8.0
28,143,The Sixth Sense,1999,8.2
29,22,The Silence of the Lambs,1991,8.6
30,62,The Shining,1980,8.4
31,1,The Shawshank Redemption,1994,9.2
32,41,The Prestige,2006,8.5
33,33,The Pianist,2002,8.5
34,16,The Matrix,1999,8.7
35,14,The Lord of the Rings: The Two Towers,2002,8.7
36,7,The Lord of the Rings: The Return of the King,2003,8.9
37,9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
38,59,The Lives of Others,2006,8.4
39,36,The Lion King,1994,8.5
40,129,The Kid,1921,8.2
41,44,The Intouchables,2011,8.5
42,227,The Incredibles,2004,8.0
43,247,The Help,2011,8.0
44,26,The Green Mile,1999,8.6
45,148,The Great Escape,1963,8.1
46,63,The Great Dictator,1940,8.4
47,231,The Grapes of Wrath,1940,8.0
48,190,The Grand Budapest Hotel,2014,8.1
49,174,The Gold Rush,1925,8.1
50,4,The Godfather: Part II,1974,9.0
51,2,The Godfather,1972,9.2
52,181,The General,1926,8.1
53,131,The Father,2020,8.2
54,224,The Exorcist,1973,8.0
55,15,The Empire Strikes Back,1980,8.7
56,153,The Elephant Man,1980,8.1
57,40,The Departed,2006,8.5
58,185,The Deer Hunter,1978,8.1
